hop,mode,rep,i,warmup,ms,bytes_out,bytes_in
H1-edge,hybrid,1,50,0,0.325,1550,2033
H1-edge,hybrid,1,51,0,0.352,1550,2033
H1-edge,hybrid,1,52,0,0.326,1550,2032
H1-edge,hybrid,1,53,0,0.361,1550,2032
H1-edge,hybrid,1,54,0,0.327,1550,2033
H1-edge,hybrid,1,55,0,0.357,1550,2032
H1-edge,hybrid,1,56,0,0.34,1550,2032
H1-edge,hybrid,1,57,0,0.346,1550,2032
H1-edge,hybrid,1,58,0,0.368,1550,2033
H1-edge,hybrid,1,59,0,0.348,1550,2033
H1-edge,hybrid,1,60,0,0.357,1550,2032
H1-edge,hybrid,1,61,0,0.36,1550,2032
H1-edge,hybrid,1,62,0,0.358,1550,2031
H1-edge,hybrid,1,63,0,0.359,1550,2032
H1-edge,hybrid,1,64,0,0.351,1550,2033
H1-edge,hybrid,1,65,0,0.356,1550,2032
H1-edge,hybrid,1,66,0,0.349,1550,2032
H1-edge,hybrid,1,67,0,0.351,1550,2033
H1-edge,hybrid,1,68,0,0.36,1550,2033
H1-edge,hybrid,1,69,0,0.354,1550,2032
H1-edge,hybrid,1,70,0,0.354,1550,2032
H1-edge,hybrid,1,71,0,0.334,1550,2033
H1-edge,hybrid,1,72,0,0.371,1550,2031
H1-edge,hybrid,1,73,0,0.33,1550,2032
H1-edge,hybrid,1,74,0,0.364,1550,2033
H1-edge,hybrid,1,75,0,0.328,1550,2031
H1-edge,hybrid,1,76,0,0.34,1550,2032
H1-edge,hybrid,1,77,0,0.324,1550,2033
H1-edge,hybrid,1,78,0,0.349,1550,2032
H1-edge,hybrid,1,79,0,0.326,1550,2032
H1-edge,hybrid,1,80,0,0.347,1550,2031
H1-edge,hybrid,1,81,0,0.341,1550,2033
H1-edge,hybrid,1,82,0,0.333,1550,2033
H1-edge,hybrid,1,83,0,0.352,1550,2031
H1-edge,hybrid,1,84,0,0.346,1550,2032
H1-edge,hybrid,1,85,0,0.378,1550,2033
H1-edge,hybrid,1,86,0,0.335,1550,2032
H1-edge,hybrid,1,87,0,0.349,1550,2033
H1-edge,hybrid,1,88,0,0.342,1550,2031
H1-edge,hybrid,1,89,0,0.345,1550,2033
H1-edge,hybrid,1,90,0,0.366,1550,2032
H1-edge,hybrid,1,91,0,0.381,1550,2032
H1-edge,hybrid,1,92,0,0.354,1550,2032
H1-edge,hybrid,1,93,0,0.37,1550,2032
H1-edge,hybrid,1,94,0,0.325,1550,2032
H1-edge,hybrid,1,95,0,0.357,1550,2032
H1-edge,hybrid,1,96,0,0.331,1550,2032
H1-edge,hybrid,1,97,0,0.35,1550,2031
H1-edge,hybrid,1,98,0,0.319,1550,2031
H1-edge,hybrid,1,99,0,0.337,1550,2033
H1-edge,hybrid,1,100,0,0.332,1550,2031
H1-edge,hybrid,1,101,0,0.35,1550,2032
H1-edge,hybrid,1,102,0,0.328,1550,2032
H1-edge,hybrid,1,103,0,0.358,1550,2031
H1-edge,hybrid,1,104,0,0.351,1550,2032
H1-edge,hybrid,1,105,0,0.366,1550,2031
H1-edge,hybrid,1,106,0,0.34,1550,2033
H1-edge,hybrid,1,107,0,0.319,1550,2031
H1-edge,hybrid,1,108,0,0.336,1550,2031
H1-edge,hybrid,1,109,0,0.318,1550,2033
H2a-py,hybrid,1,0,1,0.524,1555,2027
H2a-py,hybrid,1,1,1,0.434,1555,2028
H2a-py,hybrid,1,2,1,0.464,1555,2028
H2a-py,hybrid,1,3,1,0.495,1555,2027
H2a-py,hybrid,1,4,1,0.4,1555,2029
H2a-py,hybrid,1,5,1,0.403,1555,2028
H2a-py,hybrid,1,6,1,0.401,1555,2029
H2a-py,hybrid,1,7,1,0.406,1555,2029
H2a-py,hybrid,1,8,1,0.418,1555,2029
H2a-py,hybrid,1,9,1,0.391,1555,2027
H2a-py,hybrid,1,10,0,0.458,1555,2028
H2a-py,hybrid,1,11,0,0.356,1555,2028
H2a-py,hybrid,1,12,0,0.351,1555,2029
H2a-py,hybrid,1,13,0,0.356,1555,2027
H2a-py,hybrid,1,14,0,0.347,1555,2028
H2a-py,hybrid,1,15,0,0.367,1555,2029
H2a-py,hybrid,1,16,0,0.339,1555,2029
H2a-py,hybrid,1,17,0,0.344,1555,2028
H2a-py,hybrid,1,18,0,0.36,1555,2027
H2a-py,hybrid,1,19,0,0.352,1555,2028
H2a-py,hybrid,1,20,0,0.369,1555,2028
H2a-py,hybrid,1,21,0,0.425,1555,2027
H2a-py,hybrid,1,22,0,1.215,1555,2027
H2a-py,hybrid,1,23,0,0.42,1555,2029
H2a-py,hybrid,1,24,0,0.443,1555,2029
H2a-py,hybrid,1,25,0,0.492,1555,2028
H2a-py,hybrid,1,26,0,0.471,1555,2028
H2a-py,hybrid,1,27,0,0.581,1555,2027
H2a-py,hybrid,1,28,0,0.434,1555,2029
H2a-py,hybrid,1,29,0,0.396,1555,2028
H2a-py,hybrid,1,30,0,0.437,1555,2028
H2a-py,hybrid,1,31,0,0.403,1555,2028
H2a-py,hybrid,1,32,0,0.4,1555,2028
H2a-py,hybrid,1,33,0,0.454,1555,2027
H2a-py,hybrid,1,34,0,0.412,1555,2028
H2a-py,hybrid,1,35,0,0.405,1555,2028
H2a-py,hybrid,1,36,0,0.465,1555,2028
H2a-py,hybrid,1,37,0,0.397,1555,2029
H2a-py,hybrid,1,38,0,0.418,1555,2029
H2a-py,hybrid,1,39,0,0.376,1555,2029
H2a-py,hybrid,1,40,0,0.377,1555,2027
H2a-py,hybrid,1,41,0,0.36,1555,2028
H2a-py,hybrid,1,42,0,0.366,1555,2028
H2a-py,hybrid,1,43,0,0.363,1555,2029
H2a-py,hybrid,1,44,0,0.356,1555,2028
H2a-py,hybrid,1,45,0,0.356,1555,2028
H2a-py,hybrid,1,46,0,0.388,1555,2027
H2a-py,hybrid,1,47,0,0.376,1555,2028
H2a-py,hybrid,1,48,0,0.387,1555,2029
H2a-py,hybrid,1,49,0,0.358,1555,2027
H2a-py,hybrid,1,50,0,0.377,1555,2028
H2a-py,hybrid,1,51,0,0.369,1555,2027
H2a-py,hybrid,1,52,0,0.39,1555,2028
H2a-py,hybrid,1,53,0,0.382,1555,2028
H2a-py,hybrid,1,54,0,0.426,1555,2029
H2a-py,hybrid,1,55,0,0.411,1555,2028
H2a-py,hybrid,1,56,0,0.361,1555,2027
H2a-py,hybrid,1,57,0,0.343,1555,2027
H2a-py,hybrid,1,58,0,0.385,1555,2028
H2a-py,hybrid,1,59,0,0.368,1555,2028
H2a-py,hybrid,1,60,0,0.387,1555,2028
H2a-py,hybrid,1,61,0,0.372,1555,2028
H2a-py,hybrid,1,62,0,0.387,1555,2028
H2a-py,hybrid,1,63,0,0.394,1555,2027
H2a-py,hybrid,1,64,0,0.384,1555,2028
H2a-py,hybrid,1,65,0,0.371,1555,2028
H2a-py,hybrid,1,66,0,0.362,1555,2027
H2a-py,hybrid,1,67,0,0.341,1555,2027
H2a-py,hybrid,1,68,0,0.385,1555,2028
H2a-py,hybrid,1,69,0,0.393,1555,2029
H2a-py,hybrid,1,70,0,0.394,1555,2027
H2a-py,hybrid,1,71,0,0.363,1555,2029
H2a-py,hybrid,1,72,0,0.359,1555,2027
H2a-py,hybrid,1,73,0,0.338,1555,2027
H2a-py,hybrid,1,74,0,0.374,1555,2029
H2a-py,hybrid,1,75,0,0.341,1555,2028
H2a-py,hybrid,1,76,0,0.374,1555,2028
H2a-py,hybrid,1,77,0,0.354,1555,2029
H2a-py,hybrid,1,78,0,0.397,1555,2028
H2a-py,hybrid,1,79,0,0.37,1555,2028
H2a-py,hybrid,1,80,0,0.374,1555,2028
H2a-py,hybrid,1,81,0,0.353,1555,2028
H2a-py,hybrid,1,82,0,0.375,1555,2028
H2a-py,hybrid,1,83,0,0.373,1555,2027
H2a-py,hybrid,1,84,0,0.409,1555,2028
H2a-py,hybrid,1,85,0,0.533,1555,2027
H2a-py,hybrid,1,86,0,0.392,1555,2028
H2a-py,hybrid,1,87,0,0.406,1555,2027
H2a-py,hybrid,1,88,0,0.375,1555,2029
H2a-py,hybrid,1,89,0,0.378,1555,2029
H2a-py,hybrid,1,90,0,0.358,1555,2028
H2a-py,hybrid,1,91,0,0.371,1555,2027
H2a-py,hybrid,1,92,0,0.372,1555,2028
H2a-py,hybrid,1,93,0,0.369,1555,2028
H2a-py,hybrid,1,94,0,0.346,1555,2029
H2a-py,hybrid,1,95,0,0.363,1555,2028
H2a-py,hybrid,1,96,0,0.349,1555,2027
H2a-py,hybrid,1,97,0,0.364,1555,2029
H2a-py,hybrid,1,98,0,0.343,1555,2027
H2a-py,hybrid,1,99,0,0.368,1555,2028
H2a-py,hybrid,1,100,0,0.345,1555,2029
H2a-py,hybrid,1,101,0,0.37,1555,2028
H2a-py,hybrid,1,102,0,0.346,1555,2028
H2a-py,hybrid,1,103,0,0.343,1555,2029
H2a-py,hybrid,1,104,0,0.35,1555,2029
H2a-py,hybrid,1,105,0,0.34,1555,2027
H2a-py,hybrid,1,106,0,0.343,1555,2027
H2a-py,hybrid,1,107,0,0.34,1555,2028
H2a-py,hybrid,1,108,0,0.376,1555,2028
H2a-py,hybrid,1,109,0,0.34,1555,2029
H2b-node,hybrid,1,0,1,0.601,1553,2028
H2b-node,hybrid,1,1,1,0.48,1553,2028
H2b-node,hybrid,1,2,1,0.381,1553,2027
H2b-node,hybrid,1,3,1,0.377,1553,2027
H2b-node,hybrid,1,4,1,0.362,1553,2028
H2b-node,hybrid,1,5,1,0.378,1553,2028
H2b-node,hybrid,1,6,1,0.395,1553,2027
H2b-node,hybrid,1,7,1,0.371,1553,2029
H2b-node,hybrid,1,8,1,0.399,1553,2027
H2b-node,hybrid,1,9,1,0.388,1553,2028
H2b-node,hybrid,1,10,0,0.363,1553,2027
H2b-node,hybrid,1,11,0,0.471,1553,2028
H2b-node,hybrid,1,12,0,0.793,1553,2029
H2b-node,hybrid,1,13,0,0.444,1553,2028
H2b-node,hybrid,1,14,0,0.444,1553,2028
H2b-node,hybrid,1,15,0,0.429,1553,2028
H2b-node,hybrid,1,16,0,0.4,1553,2028
H2b-node,hybrid,1,17,0,0.373,1553,2028
H2b-node,hybrid,1,18,0,0.354,1553,2028
H2b-node,hybrid,1,19,0,0.367,1553,2027
H2b-node,hybrid,1,20,0,0.362,1553,2027
H2b-node,hybrid,1,21,0,0.343,1553,2029
H2b-node,hybrid,1,22,0,0.347,1553,2027
H2b-node,hybrid,1,23,0,0.34,1553,2029
H2b-node,hybrid,1,24,0,0.338,1553,2027
H2b-node,hybrid,1,25,0,0.572,1553,2028
H2b-node,hybrid,1,26,0,0.373,1553,2028
H2b-node,hybrid,1,27,0,0.347,1553,2028
H2b-node,hybrid,1,28,0,0.393,1553,2028
H2b-node,hybrid,1,29,0,0.339,1553,2029
H2b-node,hybrid,1,30,0,0.35,1553,2028
H2b-node,hybrid,1,31,0,0.362,1553,2027
H2b-node,hybrid,1,32,0,0.359,1553,2028
H2b-node,hybrid,1,33,0,0.352,1553,2027
H2b-node,hybrid,1,34,0,0.334,1553,2028
H2b-node,hybrid,1,35,0,0.355,1553,2029
H2b-node,hybrid,1,36,0,0.337,1553,2027
H2b-node,hybrid,1,37,0,0.341,1553,2028
H2b-node,hybrid,1,38,0,0.332,1553,2029
H2b-node,hybrid,1,39,0,0.376,1553,2029
H2b-node,hybrid,1,40,0,0.332,1553,2029
H2b-node,hybrid,1,41,0,0.373,1553,2028
H2b-node,hybrid,1,42,0,0.332,1553,2028
H2b-node,hybrid,1,43,0,0.381,1553,2028
H2b-node,hybrid,1,44,0,0.338,1553,2027
H2b-node,hybrid,1,45,0,0.364,1553,2028
H2b-node,hybrid,1,46,0,0.35,1553,2028
H2b-node,hybrid,1,47,0,0.379,1553,2028
H2b-node,hybrid,1,48,0,0.344,1553,2028
H2b-node,hybrid,1,49,0,0.361,1553,2027
H2b-node,hybrid,1,50,0,0.345,1553,2027
H2b-node,hybrid,1,51,0,0.355,1553,2028
H2b-node,hybrid,1,52,0,0.332,1553,2029
H2b-node,hybrid,1,53,0,0.35,1553,2028
H2b-node,hybrid,1,54,0,0.375,1553,2027
H2b-node,hybrid,1,55,0,0.334,1553,2029
H2b-node,hybrid,1,56,0,0.341,1553,2027
H2b-node,hybrid,1,57,0,0.334,1553,2029
H2b-node,hybrid,1,58,0,0.342,1553,2029
H2b-node,hybrid,1,59,0,0.328,1553,2028
H2b-node,hybrid,1,60,0,0.375,1553,2028
H2b-node,hybrid,1,61,0,0.539,1553,2028
H2b-node,hybrid,1,62,0,0.358,1553,2029
H2b-node,hybrid,1,63,0,0.348,1553,2028
H2b-node,hybrid,1,64,0,0.354,1553,2028
H2b-node,hybrid,1,65,0,0.352,1553,2028
H2b-node,hybrid,1,66,0,0.337,1553,2029
H2b-node,hybrid,1,67,0,0.332,1553,2028
H2b-node,hybrid,1,68,0,0.374,1553,2027
H2b-node,hybrid,1,69,0,0.341,1553,2027
H2b-node,hybrid,1,70,0,0.375,1553,2027
H2b-node,hybrid,1,71,0,0.337,1553,2029
H2b-node,hybrid,1,72,0,0.341,1553,2028
H2b-node,hybrid,1,73,0,0.335,1553,2027
H2b-node,hybrid,1,74,0,0.343,1553,2027
H2b-node,hybrid,1,75,0,0.33,1553,2028
H2b-node,hybrid,1,76,0,0.33,1553,2028
H2b-node,hybrid,1,77,0,0.362,1553,2028
H2b-node,hybrid,1,78,0,0.339,1553,2027
H2b-node,hybrid,1,79,0,0.383,1553,2028
H2b-node,hybrid,1,80,0,0.348,1553,2027
H2b-node,hybrid,1,81,0,0.378,1553,2028
H2b-node,hybrid,1,82,0,0.334,1553,2027
H2b-node,hybrid,1,83,0,0.345,1553,2027
H2b-node,hybrid,1,84,0,0.329,1553,2028
H2b-node,hybrid,1,85,0,0.38,1553,2028
H2b-node,hybrid,1,86,0,0.329,1553,2028
H2b-node,hybrid,1,87,0,0.349,1553,2027
H2b-node,hybrid,1,88,0,0.337,1553,2028
H2b-node,hybrid,1,89,0,0.366,1553,2028
H2b-node,hybrid,1,90,0,0.356,1553,2028
H2b-node,hybrid,1,91,0,0.356,1553,2028
H2b-node,hybrid,1,92,0,0.338,1553,2028
H2b-node,hybrid,1,93,0,0.368,1553,2027
H2b-node,hybrid,1,94,0,0.339,1553,2029
H2b-node,hybrid,1,95,0,0.363,1553,2029
H2b-node,hybrid,1,96,0,0.407,1553,2027
H2b-node,hybrid,1,97,0,0.359,1553,2029
H2b-node,hybrid,1,98,0,0.339,1553,2028
H2b-node,hybrid,1,99,0,0.368,1553,2029
H2b-node,hybrid,1,100,0,0.343,1553,2028
H2b-node,hybrid,1,101,0,0.329,1553,2028
H2b-node,hybrid,1,102,0,0.335,1553,2028
H2b-node,hybrid,1,103,0,0.334,1553,2028
H2b-node,hybrid,1,104,0,0.334,1553,2027
H2b-node,hybrid,1,105,0,0.378,1553,2027
H2b-node,hybrid,1,106,0,0.346,1553,2028
H2b-node,hybrid,1,107,0,0.335,1553,2027
H2b-node,hybrid,1,108,0,0.348,1553,2029
H2b-node,hybrid,1,109,0,0.332,1553,2028
H3-pg,hybrid,1,0,1,0.532,1546,2028
H3-pg,hybrid,1,1,1,0.491,1546,2027
H3-pg,hybrid,1,2,1,0.503,1546,2029
H3-pg,hybrid,1,3,1,0.466,1546,2028
H3-pg,hybrid,1,4,1,0.476,1546,2027
H3-pg,hybrid,1,5,1,0.472,1546,2029
H3-pg,hybrid,1,6,1,0.499,1546,2027
H3-pg,hybrid,1,7,1,0.437,1546,2027
H3-pg,hybrid,1,8,1,0.476,1546,2027
H3-pg,hybrid,1,9,1,0.445,1546,2028
H3-pg,hybrid,1,10,0,0.434,1546,2029
H3-pg,hybrid,1,11,0,0.473,1546,2028
H3-pg,hybrid,1,12,0,0.46,1546,2029
H3-pg,hybrid,1,13,0,0.469,1546,2028
H3-pg,hybrid,1,14,0,0.453,1546,2028
H3-pg,hybrid,1,15,0,0.45,1546,2027
H3-pg,hybrid,1,16,0,0.481,1546,2028
H3-pg,hybrid,1,17,0,0.448,1546,2028
H3-pg,hybrid,1,18,0,0.477,1546,2028
H3-pg,hybrid,1,19,0,0.587,1546,2028
H3-pg,hybrid,1,20,0,0.464,1546,2028
H3-pg,hybrid,1,21,0,0.444,1546,2027
H3-pg,hybrid,1,22,0,0.471,1546,2027
H3-pg,hybrid,1,23,0,0.447,1546,2029
H3-pg,hybrid,1,24,0,0.445,1546,2028
H3-pg,hybrid,1,25,0,0.441,1546,2028
H3-pg,hybrid,1,26,0,0.462,1546,2028
H3-pg,hybrid,1,27,0,0.479,1546,2029
H3-pg,hybrid,1,28,0,0.488,1546,2028
H3-pg,hybrid,1,29,0,0.469,1546,2028
H3-pg,hybrid,1,30,0,0.441,1546,2028
H3-pg,hybrid,1,31,0,0.435,1546,2028
H3-pg,hybrid,1,32,0,0.455,1546,2028
H3-pg,hybrid,1,33,0,0.472,1546,2027
H3-pg,hybrid,1,34,0,0.483,1546,2028
H3-pg,hybrid,1,35,0,0.441,1546,2027
H3-pg,hybrid,1,36,0,0.446,1546,2027
H3-pg,hybrid,1,37,0,0.449,1546,2028
H3-pg,hybrid,1,38,0,0.492,1546,2027
H3-pg,hybrid,1,39,0,0.507,1546,2027
H3-pg,hybrid,1,40,0,0.484,1546,2029
H3-pg,hybrid,1,41,0,0.554,1546,2027
H3-pg,hybrid,1,42,0,0.495,1546,2028
H3-pg,hybrid,1,43,0,0.454,1546,2027
H3-pg,hybrid,1,44,0,0.468,1546,2028
H3-pg,hybrid,1,45,0,0.46,1546,2027
H3-pg,hybrid,1,46,0,0.451,1546,2028
H3-pg,hybrid,1,47,0,0.47,1546,2028
H3-pg,hybrid,1,48,0,0.486,1546,2029
H3-pg,hybrid,1,49,0,0.443,1546,2029
H3-pg,hybrid,1,50,0,0.453,1546,2028
H3-pg,hybrid,1,51,0,0.466,1546,2028
H3-pg,hybrid,1,52,0,0.476,1546,2029
H3-pg,hybrid,1,53,0,0.471,1546,2028
H3-pg,hybrid,1,54,0,0.517,1546,2028
H3-pg,hybrid,1,55,0,0.467,1546,2027
H3-pg,hybrid,1,56,0,0.476,1546,2029
H3-pg,hybrid,1,57,0,0.547,1546,2029
H3-pg,hybrid,1,58,0,0.46,1546,2029
H3-pg,hybrid,1,59,0,0.475,1546,2028
H3-pg,hybrid,1,60,0,0.478,1546,2027
H3-pg,hybrid,1,61,0,0.449,1546,2029
H3-pg,hybrid,1,62,0,0.44,1546,2029
H3-pg,hybrid,1,63,0,0.471,1546,2029
H3-pg,hybrid,1,64,0,0.485,1546,2028
H3-pg,hybrid,1,65,0,0.471,1546,2028
H3-pg,hybrid,1,66,0,0.483,1546,2028
H3-pg,hybrid,1,67,0,0.435,1546,2028
H3-pg,hybrid,1,68,0,0.431,1546,2028
H3-pg,hybrid,1,69,0,0.457,1546,2028
H3-pg,hybrid,1,70,0,0.461,1546,2028
H3-pg,hybrid,1,71,0,0.433,1546,2028
H3-pg,hybrid,1,72,0,0.439,1546,2029
H3-pg,hybrid,1,73,0,0.434,1546,2027
H3-pg,hybrid,1,74,0,0.464,1546,2027
H3-pg,hybrid,1,75,0,0.484,1546,2029
H3-pg,hybrid,1,76,0,0.443,1546,2029
H3-pg,hybrid,1,77,0,0.458,1546,2028
H3-pg,hybrid,1,78,0,0.457,1546,2028
H3-pg,hybrid,1,79,0,0.45,1546,2027
H3-pg,hybrid,1,80,0,0.498,1546,2027
H3-pg,hybrid,1,81,0,0.455,1546,2028
H3-pg,hybrid,1,82,0,0.426,1546,2029
H3-pg,hybrid,1,83,0,0.436,1546,2028
H3-pg,hybrid,1,84,0,0.474,1546,2029
H3-pg,hybrid,1,85,0,0.471,1546,2028
H3-pg,hybrid,1,86,0,0.451,1546,2028
H3-pg,hybrid,1,87,0,0.431,1546,2028
H3-pg,hybrid,1,88,0,0.432,1546,2028
H3-pg,hybrid,1,89,0,0.481,1546,2028
H3-pg,hybrid,1,90,0,0.492,1546,2029
H3-pg,hybrid,1,91,0,0.485,1546,2027
H3-pg,hybrid,1,92,0,0.468,1546,2027
H3-pg,hybrid,1,93,0,0.429,1546,2028
H3-pg,hybrid,1,94,0,0.48,1546,2029
H3-pg,hybrid,1,95,0,0.583,1546,2027
H3-pg,hybrid,1,96,0,0.495,1546,2028
H3-pg,hybrid,1,97,0,0.461,1546,2027
H3-pg,hybrid,1,98,0,0.484,1546,2027
H3-pg,hybrid,1,99,0,0.446,1546,2027
H3-pg,hybrid,1,100,0,0.436,1546,2028
H3-pg,hybrid,1,101,0,0.449,1546,2028
H3-pg,hybrid,1,102,0,0.463,1546,2027
H3-pg,hybrid,1,103,0,0.445,1546,2028
H3-pg,hybrid,1,104,0,0.458,1546,2029
H3-pg,hybrid,1,105,0,0.429,1546,2028
H3-pg,hybrid,1,106,0,0.448,1546,2028
H3-pg,hybrid,1,107,0,0.458,1546,2028
H3-pg,hybrid,1,108,0,0.506,1546,2028
H3-pg,hybrid,1,109,0,0.473,1546,2028
H4-redis,hybrid,1,0,1,0.403,1543,2028
H4-redis,hybrid,1,1,1,0.412,1543,2029
H4-redis,hybrid,1,2,1,0.339,1543,2028
H4-redis,hybrid,1,3,1,0.358,1543,2029
H4-redis,hybrid,1,4,1,0.36,1543,2028
H4-redis,hybrid,1,5,1,0.357,1543,2029
H4-redis,hybrid,1,6,1,0.331,1543,2029
H4-redis,hybrid,1,7,1,0.396,1543,2028
H4-redis,hybrid,1,8,1,0.371,1543,2029
H4-redis,hybrid,1,9,1,0.378,1543,2027
H4-redis,hybrid,1,10,0,0.346,1543,2027
H4-redis,hybrid,1,11,0,0.396,1543,2029
H4-redis,hybrid,1,12,0,0.343,1543,2028
H4-redis,hybrid,1,13,0,0.355,1543,2029
H4-redis,hybrid,1,14,0,0.339,1543,2027
H4-redis,hybrid,1,15,0,0.377,1543,2028
H4-redis,hybrid,1,16,0,0.353,1543,2027
H4-redis,hybrid,1,17,0,0.355,1543,2027
H4-redis,hybrid,1,18,0,0.342,1543,2028
H4-redis,hybrid,1,19,0,0.345,1543,2028
H4-redis,hybrid,1,20,0,0.336,1543,2028
H4-redis,hybrid,1,21,0,0.349,1543,2027
H4-redis,hybrid,1,22,0,0.378,1543,2028
H4-redis,hybrid,1,23,0,0.402,1543,2027
H4-redis,hybrid,1,24,0,0.357,1543,2029
H4-redis,hybrid,1,25,0,0.415,1543,2028
H4-redis,hybrid,1,26,0,0.368,1543,2029
H4-redis,hybrid,1,27,0,0.388,1543,2028
H4-redis,hybrid,1,28,0,0.356,1543,2029
H4-redis,hybrid,1,29,0,0.372,1543,2027
H4-redis,hybrid,1,30,0,0.368,1543,2027
H4-redis,hybrid,1,31,0,0.353,1543,2029
H4-redis,hybrid,1,32,0,0.374,1543,2028
H4-redis,hybrid,1,33,0,0.352,1543,2027
H4-redis,hybrid,1,34,0,0.352,1543,2027
H4-redis,hybrid,1,35,0,0.33,1543,2028
H4-redis,hybrid,1,36,0,0.338,1543,2027
H4-redis,hybrid,1,37,0,0.33,1543,2027
H4-redis,hybrid,1,38,0,0.331,1543,2029
H4-redis,hybrid,1,39,0,0.326,1543,2028
H4-redis,hybrid,1,40,0,0.342,1543,2028
H4-redis,hybrid,1,41,0,0.324,1543,2027
H4-redis,hybrid,1,42,0,0.39,1543,2028
H4-redis,hybrid,1,43,0,0.34,1543,2028
H4-redis,hybrid,1,44,0,0.368,1543,2027
H4-redis,hybrid,1,45,0,0.34,1543,2028
H4-redis,hybrid,1,46,0,0.362,1543,2028
H4-redis,hybrid,1,47,0,0.33,1543,2029
H4-redis,hybrid,1,48,0,0.382,1543,2028
H4-redis,hybrid,1,49,0,0.333,1543,2028
H4-redis,hybrid,1,50,0,0.367,1543,2028
H4-redis,hybrid,1,51,0,0.348,1543,2027
H4-redis,hybrid,1,52,0,0.338,1543,2027
H4-redis,hybrid,1,53,0,0.354,1543,2029
H4-redis,hybrid,1,54,0,0.363,1543,2027
H4-redis,hybrid,1,55,0,0.354,1543,2028
H4-redis,hybrid,1,56,0,0.342,1543,2029
H4-redis,hybrid,1,57,0,0.35,1543,2028
H4-redis,hybrid,1,58,0,0.338,1543,2027
H4-redis,hybrid,1,59,0,0.34,1543,2029
H4-redis,hybrid,1,60,0,0.359,1543,2027
H4-redis,hybrid,1,61,0,0.36,1543,2028
H4-redis,hybrid,1,62,0,0.344,1543,2028
H4-redis,hybrid,1,63,0,0.365,1543,2029
H4-redis,hybrid,1,64,0,0.328,1543,2028
H4-redis,hybrid,1,65,0,0.356,1543,2027
H4-redis,hybrid,1,66,0,0.332,1543,2029
H4-redis,hybrid,1,67,0,0.364,1543,2027
H4-redis,hybrid,1,68,0,0.348,1543,2028
H4-redis,hybrid,1,69,0,0.353,1543,2029
H4-redis,hybrid,1,70,0,0.357,1543,2029
H4-redis,hybrid,1,71,0,0.363,1543,2028
H4-redis,hybrid,1,72,0,0.34,1543,2029
H4-redis,hybrid,1,73,0,0.359,1543,2028
H4-redis,hybrid,1,74,0,0.355,1543,2028
H4-redis,hybrid,1,75,0,0.364,1543,2028
